champion,wins,games,bans,pick_order_blue,pick_order_red,winrate
Ashe,1,5,3,[1],"[1, 2, 4, 1]",0.2
Pantheon,2,4,1,"[3, 3, 5]",[4],0.5
Jayce,1,4,0,[2],"[3, 1, 1]",0.25
Rakan,0,4,2,[5],"[3, 4, 4]",0.0
Azir,0,4,1,"[3, 4]","[5, 3]",0.0
Varus,1,3,0,[1],"[1, 2]",0.3333333333333333
Rumble,2,3,0,"[1, 1]",[1],0.6666666666666666
Ahri,1,3,0,"[5, 4]",[5],0.3333333333333333
K'Sante,0,3,3,"[1, 2]",[2],0.0
Vi,0,3,10,"[1, 1]",[3],0.0
Braum,1,3,1,"[2, 5]",[3],0.3333333333333333
Xin Zhao,0,2,1,[],"[2, 2]",0.0
Kai'Sa,0,2,0,[4],[1],0.0
Ambessa,0,2,0,[3],[5],0.0
Sejuani,0,2,3,[3],[4],0.0
Caitlyn,0,2,1,[1],[1],0.0
Taliyah,0,2,1,"[4, 2]",[],0.0
Gragas,1,2,0,[],"[4, 5]",0.5
Hwei,0,2,0,[],"[5, 5]",0.0
Viego,0,2,7,[2],[2],0.0
Rell,1,2,0,[5],[3],0.5
Vladimir,1,2,0,[4],[5],0.5
Leona,0,1,1,[],[3],0.0
Ezreal,1,1,2,[2],[],1.0
Karma,0,1,1,[],[5],0.0
Sivir,0,1,0,[4],[],0.0
Jax,0,1,0,[3],[],0.0
Zyra,0,1,5,[],[2],0.0
Yone,0,1,1,[],[4],0.0
Nocturne,0,1,1,[2],[],0.0
Alistar,0,1,0,[5],[],0.0
Sion,0,1,1,[],[4],0.0
Yasuo,1,1,0,[],[3],1.0
Pyke,0,1,0,[5],[],0.0
Miss Fortune,0,1,0,[2],[],0.0
Ornn,0,1,1,[5],[],0.0
Wukong,0,1,1,[4],[],0.0
Orianna,0,1,3,[3],[],0.0
Aurora,0,1,9,[3],[],0.0
Shen,0,1,0,[4],[],0.0
Maokai,1,1,0,[],[2],1.0
Skarner,0,0,3,[],[],0.0
Xayah,0,0,1,[],[],0.0
Nautilus,0,0,1,[],[],0.0
Renekton,0,0,1,[],[],0.0
Udyr,0,0,1,[],[],0.0
Viktor,0,0,1,[],[],0.0
Poppy,0,0,2,[],[],0.0
Lux,0,0,1,[],[],0.0
Neeko,0,0,1,[],[],0.0
Mel,0,0,1,[],[],0.0
Kalista,0,0,5,[],[],0.0
Renata Glasc,0,0,1,[],[],0.0
Tristana,0,0,1,[],[],0.0
