Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,gold7me,gold15me,xp7me,xp15me,gold7opp,gold15opp,xp7opp,xp15opp
Aurora,44447,27104,17748,33.55,288,4,2,True,MIDDLE,Akali,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Sylas,10354,21058,7591,22.05,141,0,6,False,MIDDLE,Syndra,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Nunu,13341,35702,12942,28.566666666666666,39,177,2,True,JUNGLE,LeeSin,2170.0,4952.0,2864.0,6919.0,2130.0,4817.0,3080.0,7385.0
Taliyah,28955,28870,18439,39.11666666666667,305,10,4,True,MIDDLE,Velkoz,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Akali,36679,30874,14203,31.466666666666665,246,0,3,False,MIDDLE,Katarina,2108.0,5303.0,2368.0,6073.0,1921.0,3898.0,2154.0,3924.0
Akali,9646,5132,7618,15.716666666666667,141,0,0,True,MIDDLE,Sylas,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Akali,33450,30380,13091,27.866666666666667,171,0,4,True,MIDDLE,Lucian,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Aurora,27338,23551,12180,29.966666666666665,221,0,5,False,MIDDLE,Galio,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,18188,22944,9416,27.983333333333334,202,2,6,False,MIDDLE,Lux,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Ezreal,20733,28547,11438,29.283333333333335,206,8,6,False,BOTTOM,Caitlyn,2238.0,5452.0,2983.0,6311.0,2130.0,4817.0,3080.0,7385.0
Aurora,11884,18050,11642,29.05,239,4,5,False,MIDDLE,Hwei,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Yone,12096,34508,10952,30.316666666666666,229,12,6,False,MIDDLE,Hwei,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Ezreal,24977,17647,12782,28.533333333333335,230,8,2,True,BOTTOM,Caitlyn,2238.0,5452.0,2983.0,6311.0,2130.0,4817.0,3080.0,7385.0
Rell,17382,38656,10220,43.3,36,0,15,False,UTILITY,Pyke,2753.0,6035.0,1938.0,5460.0,2999.0,6308.0,1953.0,5013.0
Viktor,19745,19346,10118,28.116666666666667,226,0,7,True,MIDDLE,Zed,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Hwei,32732,23471,11418,32.28333333333333,235,0,7,False,MIDDLE,Anivia,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Akali,37427,35759,14225,38.15,240,0,6,False,MIDDLE,Talon,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,7311,9381,6390,15.483333333333333,127,0,4,False,MIDDLE,TwistedFate,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Rell,5377,15976,7149,27.1,36,0,4,True,UTILITY,Thresh,2753.0,6035.0,1938.0,5460.0,2999.0,6308.0,1953.0,5013.0
Zeri,6481,6671,8263,17.866666666666667,162,3,2,True,MIDDLE,Yasuo,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Hwei,79193,33084,19308,44.55,329,4,8,False,MIDDLE,Chogath,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
LeeSin,15273,34953,12619,26.916666666666668,40,153,1,True,JUNGLE,Viego,2140.0,5572.0,3204.0,8406.0,2170.0,4952.0,2864.0,6919.0
Viktor,21592,11278,9803,23.25,193,3,1,True,MIDDLE,Mel,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Viktor,16163,7566,8554,18.85,146,2,2,True,MIDDLE,Swain,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Aurora,39398,19073,13786,29.4,251,0,0,True,MIDDLE,Hwei,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Rell,15646,27592,10954,32.88333333333333,31,0,5,True,UTILITY,Senna,2753.0,6035.0,1938.0,5460.0,2999.0,6308.0,1953.0,5013.0
Aurora,18410,17511,9986,21.116666666666667,149,4,4,False,MIDDLE,Zoe,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Syndra,15154,27577,12587,35.93333333333333,257,0,10,False,MIDDLE,Malzahar,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Galio,10960,12032,7106,23.5,103,0,2,True,MIDDLE,Vladimir,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,28331,24106,14387,31.516666666666666,219,4,3,True,MIDDLE,Orianna,2525.0,6495.0,2399.0,5838.0,2238.0,5452.0,2983.0,6311.0
Syndra,24569,17222,11847,28.883333333333333,242,0,2,False,MIDDLE,Aurora,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,29669,20842,13603,29.85,208,4,4,True,MIDDLE,Vladimir,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Viktor,19113,12549,9516,22.85,177,8,2,True,MIDDLE,Viego,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Hwei,30220,28829,12977,32.8,255,4,4,False,MIDDLE,Ahri,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Rell,8345,19954,7824,27.883333333333333,27,0,5,True,UTILITY,Bard,2753.0,6035.0,1938.0,5460.0,2999.0,6308.0,1953.0,5013.0
Nunu,0,365,510,1.7333333333333334,0,0,0,True,JUNGLE,LeeSin,2170.0,4952.0,2864.0,6919.0,2140.0,5572.0,3204.0,8406.0
LeeSin,11650,37571,11908,26.683333333333334,25,154,5,True,JUNGLE,Diana,2140.0,5572.0,3204.0,8406.0,2170.0,4952.0,2864.0,6919.0
Akali,37197,35314,14621,34.36666666666667,228,0,6,True,MIDDLE,Zed,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Viego,37872,61830,17133,42.21666666666667,38,227,7,True,JUNGLE,MonkeyKing,2170.0,4952.0,2864.0,6919.0,2140.0,5572.0,3204.0,8406.0
Viktor,29746,21224,10428,28.0,195,4,4,False,MIDDLE,Ekko,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Hwei,22403,15441,13084,29.683333333333334,253,0,1,True,BOTTOM,Seraphine,2525.0,6495.0,2399.0,5838.0,2238.0,5452.0,2983.0,6311.0
Akali,19953,25843,15796,35.083333333333336,295,1,1,True,MIDDLE,Katarina,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
LeeSin,9181,38513,10857,28.15,26,172,3,True,JUNGLE,Elise,2170.0,4952.0,2864.0,6919.0,2140.0,5572.0,3204.0,8406.0
Hwei,31352,14411,12380,27.7,216,0,3,True,MIDDLE,Vex,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
LeeSin,16112,34336,12012,29.083333333333332,16,146,2,True,JUNGLE,FiddleSticks,2140.0,5572.0,3204.0,8406.0,2170.0,4952.0,2864.0,6919.0
LeeSin,0,439,510,1.7333333333333334,0,0,0,True,JUNGLE,Naafiri,2140.0,5572.0,3204.0,8406.0,2170.0,4952.0,2864.0,6919.0
Akali,30992,41803,15401,38.21666666666667,252,0,3,True,MIDDLE,Galio,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Syndra,27784,19415,15873,32.46666666666667,258,0,4,True,MIDDLE,Akshan,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Syndra,17233,5888,10216,25.233333333333334,202,0,0,True,MIDDLE,Aurora,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Syndra,18156,17170,10765,27.85,215,2,3,True,MIDDLE,Hwei,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Hwei,31803,18654,14337,32.65,313,0,3,False,MIDDLE,Riven,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,63281,40128,20606,42.983333333333334,370,0,3,False,MIDDLE,Hwei,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Aurora,34072,20592,14813,30.716666666666665,214,1,4,True,MIDDLE,Lux,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Nunu,14414,33887,9278,23.683333333333334,15,134,2,True,JUNGLE,Brand,2170.0,4952.0,2864.0,6919.0,2999.0,6308.0,1953.0,5013.0
Viego,0,591,605,1.9,0,4,0,False,JUNGLE,Diana,2140.0,5572.0,3204.0,8406.0,2170.0,4952.0,2864.0,6919.0
Aurora,26814,29612,10614,29.583333333333332,168,0,8,True,MIDDLE,Akali,2108.0,5303.0,2368.0,6073.0,2525.0,6495.0,2399.0,5838.0
Galio,8713,20339,8424,24.033333333333335,203,0,3,False,MIDDLE,Annie,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Aurora,9277,13454,7553,21.533333333333335,165,0,6,False,MIDDLE,Pantheon,2108.0,5303.0,2368.0,6073.0,1921.0,3898.0,2154.0,3924.0
Aurora,25709,23407,11072,26.383333333333333,226,0,5,False,MIDDLE,Jayce,2525.0,6495.0,2399.0,5838.0,2108.0,5303.0,2368.0,6073.0
Pantheon,9714,28899,7782,21.3,23,99,7,False,JUNGLE,Lillia,2170.0,4952.0,2864.0,6919.0,2140.0,5572.0,3204.0,8406.0
